epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
83,35227.5,0.84995,0.96937,1.22367,0.70825,0.65299,0.70508,0.59466,0.53899,0.66834,1.02321,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,35633.2,0.8453,0.96365,1.22336,0.70654,0.65641,0.70572,0.596,0.53873,0.66733,1.02242,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,36042.6,0.84392,0.96118,1.22368,0.71217,0.65089,0.70651,0.59624,0.5378,0.66551,1.02122,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,36452.2,0.83919,0.95433,1.21576,0.72161,0.65049,0.70782,0.59734,0.53792,0.66451,1.0208,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,36861.5,0.83986,0.94693,1.2181,0.72096,0.65235,0.70801,0.5973,0.53722,0.66355,1.01976,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,37268.8,0.83296,0.94315,1.21516,0.71056,0.66004,0.70882,0.59783,0.53728,0.66344,1.01976,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,37687.2,0.82823,0.93511,1.21121,0.71064,0.66104,0.70876,0.59833,0.53667,0.66241,1.01915,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,38107.8,0.83131,0.93549,1.21207,0.72292,0.65121,0.70886,0.59857,0.53536,0.6619,1.01768,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,2452.84,0.83483,0.964,1.22508,0.70753,0.65876,0.70706,0.59699,0.53127,0.65716,1.01321,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,4869.33,0.83397,0.96266,1.22569,0.7125,0.65577,0.70749,0.59765,0.53104,0.65698,1.01266,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,6839.14,0.83326,0.95878,1.22323,0.71786,0.65208,0.7072,0.59755,0.53077,0.65639,1.01195,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,9019.3,0.83019,0.95203,1.22185,0.72512,0.6501,0.70725,0.59866,0.52989,0.65615,1.01081,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,11371,0.8281,0.94127,1.21677,0.73678,0.64381,0.70768,0.60049,0.52921,0.65515,1.01,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,13878.9,0.82789,0.9426,1.21631,0.73741,0.64355,0.70818,0.60086,0.52828,0.65416,1.00893,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,16270.3,0.8226,0.93239,1.21154,0.73785,0.64316,0.70795,0.60043,0.52764,0.65396,1.00826,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,18492.5,0.82046,0.9242,1.21265,0.74123,0.64921,0.70862,0.60087,0.52712,0.65382,1.00759,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,20841,0.81905,0.92217,1.21016,0.74089,0.64827,0.70858,0.60088,0.52632,0.65305,1.00684,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,22868.4,0.81728,0.91873,1.21044,0.73955,0.64671,0.70865,0.60124,0.52619,0.65334,1.00635,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
