epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
74,2720.85,0.99758,0.77747,1.26452,0.81473,0.74121,0.81638,0.58655,0.99875,0.74738,1.26286,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,2758.18,0.99832,0.77929,1.2557,0.82098,0.74232,0.8239,0.59232,0.99789,0.74279,1.25847,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,2797.03,0.99826,0.77325,1.25219,0.81678,0.75017,0.82138,0.59357,1.00019,0.73665,1.26311,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,2834.97,0.98973,0.77199,1.24523,0.82243,0.74813,0.82369,0.59479,0.98918,0.73415,1.25841,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,2872.01,0.98226,0.76406,1.24188,0.82761,0.74279,0.82147,0.59734,0.98413,0.73066,1.24653,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,2910.41,0.97932,0.76211,1.23786,0.82827,0.74536,0.82745,0.59562,0.98856,0.72073,1.25218,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,2947.45,0.98845,0.76326,1.24388,0.83614,0.73159,0.82529,0.59646,0.98661,0.72396,1.25509,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,2985.57,0.97959,0.75719,1.2351,0.81305,0.76003,0.82952,0.59973,0.98349,0.71358,1.24802,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,3023.14,0.9684,0.7422,1.22534,0.80888,0.7556,0.82889,0.60053,0.98969,0.7028,1.24825,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,3060.68,0.9749,0.74751,1.23288,0.82438,0.76363,0.83601,0.60559,0.96662,0.70566,1.22991,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,3098.86,0.96397,0.73834,1.2231,0.82898,0.76067,0.83668,0.60883,0.96556,0.68735,1.23076,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,3137.66,0.9687,0.7362,1.22559,0.81909,0.77193,0.8374,0.60806,0.96591,0.70119,1.23948,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,3174.96,0.96207,0.73164,1.21981,0.84473,0.75439,0.83833,0.60864,0.96919,0.69157,1.23213,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,3212.49,0.95367,0.73123,1.21678,0.82173,0.75837,0.83452,0.60838,0.97066,0.69761,1.23647,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,3249.8,0.96184,0.72834,1.21833,0.84919,0.7437,0.83728,0.60961,0.96546,0.69179,1.23496,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
