epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,3310.89,0.92267,0.68273,1.21122,0.83793,0.76308,0.84882,0.61684,0.9591,0.66921,1.24189,0.0003368,0.0003368,0.0003368
128,3333.45,0.91095,0.67904,1.20259,0.83008,0.77249,0.84831,0.61817,0.9575,0.66819,1.24141,0.0003236,0.0003236,0.0003236
129,3355.89,0.91994,0.68556,1.20528,0.84395,0.76003,0.84869,0.61863,0.95614,0.66989,1.23838,0.0003104,0.0003104,0.0003104
130,3378.09,0.90758,0.67848,1.20152,0.85533,0.75893,0.84984,0.62088,0.95137,0.66478,1.23348,0.0002972,0.0002972,0.0002972
131,3400.11,0.90714,0.66863,1.19581,0.8587,0.75524,0.84865,0.62053,0.95139,0.66396,1.23197,0.000284,0.000284,0.000284
132,3422.27,0.90757,0.67077,1.197,0.86324,0.75339,0.8487,0.62109,0.95234,0.66212,1.23196,0.0002708,0.0002708,0.0002708
133,3444.61,0.90533,0.67723,1.1956,0.848,0.76557,0.85047,0.62195,0.95174,0.65955,1.23367,0.0002576,0.0002576,0.0002576
134,3466.62,0.90833,0.66359,1.19704,0.85579,0.76363,0.85027,0.6222,0.94986,0.65758,1.23454,0.0002444,0.0002444,0.0002444
135,3488.58,0.8949,0.66414,1.19159,0.85924,0.76308,0.85127,0.62282,0.94655,0.65627,1.22916,0.0002312,0.0002312,0.0002312
136,3510.74,0.89763,0.66236,1.18932,0.85325,0.76923,0.85261,0.62247,0.94675,0.65849,1.22946,0.000218,0.000218,0.000218
137,3532.97,0.89437,0.65978,1.18948,0.85578,0.76585,0.85172,0.6247,0.9468,0.65454,1.23031,0.0002048,0.0002048,0.0002048
138,3555.16,0.9002,0.66627,1.18969,0.85265,0.76861,0.85223,0.62488,0.94689,0.65656,1.22983,0.0001916,0.0001916,0.0001916
139,3577.27,0.88757,0.65682,1.18329,0.85129,0.77193,0.85275,0.62434,0.94568,0.65776,1.23033,0.0001784,0.0001784,0.0001784
140,3599.43,0.8855,0.6578,1.19093,0.85057,0.77526,0.8541,0.62586,0.94274,0.65492,1.22861,0.0001652,0.0001652,0.0001652
141,3641.16,0.84155,0.58038,1.13643,0.85158,0.76384,0.84993,0.62004,0.95143,0.65735,1.23458,0.000152,0.000152,0.000152
142,3662.73,0.81899,0.55141,1.12182,0.84059,0.76806,0.85,0.62156,0.9522,0.65756,1.23755,0.0001388,0.0001388,0.0001388
143,3684.89,0.81806,0.54589,1.11811,0.83983,0.7735,0.8524,0.62313,0.94777,0.65303,1.2336,0.0001256,0.0001256,0.0001256
144,3705.54,0.81171,0.5454,1.11414,0.83727,0.78182,0.85272,0.62388,0.94556,0.65441,1.23079,0.0001124,0.0001124,0.0001124
145,3726.85,0.80264,0.53753,1.11123,0.83805,0.77912,0.85423,0.62672,0.94418,0.65217,1.23095,9.92e-05,9.92e-05,9.92e-05
146,3747.44,0.7986,0.53786,1.11093,0.85202,0.77249,0.85414,0.62718,0.94296,0.64775,1.22955,8.6e-05,8.6e-05,8.6e-05
147,3768.14,0.80147,0.53439,1.10966,0.85164,0.77277,0.85478,0.62814,0.94135,0.64639,1.22882,7.28e-05,7.28e-05,7.28e-05
148,3788.82,0.79963,0.53992,1.11377,0.84896,0.77498,0.8552,0.62967,0.93767,0.64345,1.22655,5.96e-05,5.96e-05,5.96e-05
149,3809.76,0.7933,0.53028,1.10787,0.8527,0.77547,0.85519,0.62963,0.93501,0.64223,1.22411,4.64e-05,4.64e-05,4.64e-05
150,3832.68,0.78881,0.52553,1.10142,0.85473,0.77858,0.85598,0.62894,0.93621,0.64238,1.22546,3.32e-05,3.32e-05,3.32e-05
